id;nom;code_e_ntreprise;secteur_activite;adresse;nom_directeur;contact_directeur;email_directeur;nom_maitre_stage;contact_maitre_stage;email_maitre_stage
1;Iranian b Granite;Wooden;generate override bandwidth;deposit;Soft system Avon;bypass;République;user-centric;innovate expedite Dollar;Loan payment
2;Keyboard centrafricaine;c;user-centric bypassing 1080p;bluetooth Music Champagne-Ardenne;Tuna;Barbade state Analyste;3rd;Plastic gold;Ingenieur bleeding-edge proactive;frame Fresh back-end
3;calculating;hack architectures Corse;orange Serbie;Midi-Pyrénées;niches;matrix deposit Incredible;service-desk;deposit Ergonomic;seamless;Borders Practical utilize
4;radical ivory b;SAS Generic;up dot-com;Steel enhance Music;Movies Rustic user-centric;card Cambridgeshire;markets;Awesome bandwidth;a du;Investment Unbranded
5;seamless Avon;initiatives;c Soap Gloves;Havre Rhône-Alpes;Basse-Normandie Forint;Salad;groupware;c function;models;a Libyan
6;a;Frozen Île-de-France Oman;magenta Account Somoni;interface c du;c;a;Chicken;attitude;Irlande Metal;Balboa teal
7;teal functionalities multi-byte;Corse system;AGP flexibility Dollar;overriding Nesle;b capability Open-source;Gorgeous reboot;Plastic improvement;Awesome 3rd;contextually-based wireless;Gloves Chair
8;RSS empower payment;parse foreground back-end;channels Iceland;c;c hybrid;web-readiness overriding;c;Car;Joubert;bypass
9;multi-byte auxiliary de;static Plastic;Keyboard engage global;Kwacha payment;c tan;Handcrafted Champagne-Ardenne;violet;Plastic Rubber;c Cotton payment;payment
10;synergies;Lev auxiliary;USB Manager;Mouffetard d'Abbeville;coherent invoice;Coordinateur Berkshire software;Lorraine hacking de;Vatu;bypass a Wooden;pink Devolved virtual
